assignment_id,customer_id,consultant_id,service,date,start_time,end_time,status
ASSIGN_300001,CUST_WAREHOUSE_2,CONS_100001,Picker,2026-02-26,'14:00','22:00',LATE_REPORTED
ASSIGN_300002,CUST_WAREHOUSE_2,CONS_100001,Picker,2026-02-27,'08:00','16:00',CONFIRMED
ASSIGN_300003,CUST_WAREHOUSE_2,CONS_100001,Picker,2026-02-25,'14:00','22:00',CONFIRMED
ASSIGN_300004,CUST_WAREHOUSE_2,CONS_100001,Picker,2026-02-17,'14:00','22:00',LATE_REPORTED
ASSIGN_300005,CUST_WAREHOUSE_2,CONS_100001,Picker,2026-02-20,'08:00','16:00',CONFIRMED
ASSIGN_300006,CUST_WAREHOUSE_2,CONS_100001,Picker,2026-02-18,'14:00','22:00',CONFIRMED
ASSIGN_300007,CUST_WAREHOUSE_1,CONS_100002,InventoryControl,2026-02-23,'08:00','16:00',CONFIRMED
ASSIGN_300008,CUST_WAREHOUSE_6,CONS_100002,Packer,2026-02-26,'08:00','16:00',CONFIRMED
ASSIGN_300009,CUST_WAREHOUSE_1,CONS_100002,Packer,2026-02-20,'08:00','16:00',NO_SHOW
ASSIGN_300010,CUST_WAREHOUSE_6,CONS_100002,InventoryControl,2026-02-25,'14:00','22:00',CONFIRMED
ASSIGN_300011,CUST_WAREHOUSE_3,CONS_100003,ForkliftOperator,2026-02-19,'06:00','14:00',CONFIRMED
ASSIGN_300012,CUST_WAREHOUSE_3,CONS_100003,ForkliftOperator,2026-02-27,'14:00','22:00',CONFIRMED
ASSIGN_300013,CUST_WAREHOUSE_3,CONS_100003,ForkliftOperator,2026-02-23,'14:00','22:00',CONFIRMED
ASSIGN_300014,CUST_WAREHOUSE_2,CONS_100003,Packer,2026-02-27,'06:00','14:00',CONFIRMED
ASSIGN_300015,CUST_WAREHOUSE_3,CONS_100003,ForkliftOperator,2026-02-18,'06:00','14:00',CONFIRMED
ASSIGN_300016,CUST_WAREHOUSE_3,CONS_100003,ForkliftOperator,2026-02-17,'06:00','14:00',CONFIRMED
ASSIGN_300017,CUST_WAREHOUSE_1,CONS_100004,ForkliftOperator,2026-02-27,'06:00','14:00',CONFIRMED
ASSIGN_300018,CUST_WAREHOUSE_1,CONS_100004,ForkliftOperator,2026-02-23,'08:00','16:00',NO_SHOW
