availability_id,consultant_id,date,start_time,end_time,status
AV_90001,CONS_100001,2026-02-16,'08:00','16:00',AVAILABLE
AV_90002,CONS_100001,2026-02-17,'14:00','22:00',BOOKED
AV_90003,CONS_100001,2026-02-18,'06:00','14:00',AVAILABLE
AV_90004,CONS_100001,2026-02-18,'14:00','22:00',BOOKED
AV_90005,CONS_100001,2026-02-19,'08:00','16:00',AVAILABLE
AV_90006,CONS_100001,2026-02-20,'06:00','14:00',AVAILABLE
AV_90007,CONS_100001,2026-02-20,'08:00','16:00',BOOKED
AV_90008,CONS_100001,2026-02-23,'08:00','16:00',AVAILABLE
AV_90009,CONS_100001,2026-02-24,'14:00','22:00',AVAILABLE
AV_90010,CONS_100001,2026-02-25,'14:00','22:00',BOOKED
AV_90011,CONS_100001,2026-02-25,'08:00','16:00',AVAILABLE
AV_90012,CONS_100001,2026-02-26,'14:00','22:00',BOOKED
AV_90013,CONS_100001,2026-02-27,'08:00','16:00',BOOKED
AV_90014,CONS_100002,2026-02-17,'06:00','14:00',AVAILABLE
AV_90015,CONS_100002,2026-02-17,'08:00','16:00',AVAILABLE
AV_90016,CONS_100002,2026-02-18,'06:00','14:00',AVAILABLE
AV_90017,CONS_100002,2026-02-18,'08:00','16:00',AVAILABLE
AV_90018,CONS_100002,2026-02-19,'14:00','22:00',AVAILABLE
AV_90019,CONS_100002,2026-02-19,'08:00','16:00',AVAILABLE
AV_90020,CONS_100002,2026-02-20,'06:00','14:00',AVAILABLE
AV_90021,CONS_100002,2026-02-20,'08:00','16:00',BOOKED
AV_90022,CONS_100002,2026-02-23,'08:00','16:00',BOOKED
AV_90023,CONS_100002,2026-02-23,'06:00','14:00',AVAILABLE
AV_90024,CONS_100002,2026-02-24,'14:00','22:00',AVAILABLE
AV_90025,CONS_100002,2026-02-24,'06:00','14:00',AVAILABLE
AV_90026,CONS_100002,2026-02-25,'14:00','22:00',BOOKED
AV_90027,CONS_100002,2026-02-26,'08:00','16:00',BOOKED
AV_90028,CONS_100002,2026-02-27,'08:00','16:00',AVAILABLE
AV_90029,CONS_100003,2026-02-17,'06:00','14:00',BOOKED
AV_90030,CONS_100003,2026-02-18,'06:00','14:00',BOOKED
AV_90031,CONS_100003,2026-02-19,'14:00','22:00',AVAILABLE
AV_90032,CONS_100003,2026-02-19,'06:00','14:00',BOOKED
AV_90033,CONS_100003,2026-02-20,'06:00','14:00',AVAILABLE
AV_90034,CONS_100003,2026-02-20,'08:00','16:00',AVAILABLE
AV_90035,CONS_100003,2026-02-23,'14:00','22:00',BOOKED
AV_90036,CONS_100003,2026-02-26,'06:00','14:00',AVAILABLE
AV_90037,CONS_100003,2026-02-27,'14:00','22:00',BOOKED
AV_90038,CONS_100003,2026-02-27,'06:00','14:00',BOOKED
AV_90039,CONS_100004,2026-02-17,'08:00','16:00',AVAILABLE
AV_90040,CONS_100004,2026-02-17,'06:00','14:00',AVAILABLE
AV_90041,CONS_100004,2026-02-18,'08:00','16:00',AVAILABLE
AV_90042,CONS_100004,2026-02-20,'14:00','22:00',AVAILABLE
AV_90043,CONS_100004,2026-02-20,'08:00','16:00',AVAILABLE
AV_90044,CONS_100004,2026-02-23,'08:00','16:00',BOOKED
AV_90045,CONS_100004,2026-02-24,'06:00','14:00',BOOKED
AV_90046,CONS_100004,2026-02-27,'06:00','14:00',BOOKED
AV_90047,CONS_100005,2026-02-16,'14:00','22:00',BOOKED
